ジャンル,チャンネルID,チャンネル名,登録者数,グループ,過去30日再生数,トレンド動画ID,トレンド動画タイトル,トレンド投稿日,トレンド動画再生数,サムネイルURL
アニメ・漫画解説,UCgN2I772jvK0IGezU4s77Aw,笠さんとみなみちゃん,42300,5万人未満,386829,SrCWK319PW0,【 進化系なろう】なろう系アニメブームの終わりが見えてきた件【小説家になろうブームの終焉？】,2025-05-30,94230,https://i.ytimg.com/vi/SrCWK319PW0/hqdefault.jpg
アニメ・漫画解説,UC749UZT1fmmuR5I8M2umkfA,おじゃ（ojya）,26900,5万人未満,370426,2ao2ChXxu4o,【コナン】灰原がRUMにバレる...コナン正体確信か！？〈最新1145話〉　#コナン　#conan,2025-06-05,99830,https://i.ytimg.com/vi/2ao2ChXxu4o/hqdefault.jpg
アニメ・漫画解説,UCglyrJ0T-fJ5Dt6Kk2lBNRA,たっくーマニア【切り抜き】,15300,5万人未満,343398,96e_Wv9OXGE,"【衝撃】映画化された""未解決事件""が怖すぎる！2025年5月5週まとめ「作業用/たっくー切り抜き」",2025-05-31,34362,https://i.ytimg.com/vi/96e_Wv9OXGE/hqdefault.jpg
アニメ・漫画解説,UCBW1QMmQbR5mdhf9WFua9lA,粥粥看漫画,4440,5万人未満,328357,C_-RPY2Dl9c,[完結漫畫]我那傻白甜老婆最近變得好奇怪，她好像意識到自己就是個炮灰女配。開始放飛自我了！男主來找他借錢，她反手就甩了對方兩個大嘴巴子，我跟你很熟嗎？ #二次元 #一口氣看完 #漫画解说 #小說,2025-06-15,37297,https://i.ytimg.com/vi/C_-RPY2Dl9c/hqdefault.jpg
アニメ・漫画解説,UCeLfJTTKpbLk8vcs00OtpbA,小爱说漫,28200,5万人未満,248239,RLncPCYV7EY,【完结双男主】载京快被四人组玩死了，幸好幕后黑手出现了，可没想到他比谁都疯 ！#二次元 #漫画解说 #画涯 #画涯漫画 #密室惊魂,2025-06-23,17100,https://i.ytimg.com/vi/RLncPCYV7EY/hqdefault.jpg
アニメ・漫画解説,UCnQI3I3C96eHHX34Qgq428A,ゆゆ【海外アニメ解説】,3050,5万人未満,247446,7XQzclgEJVo,【アメイジング・デジタル・サーカス】5話で動揺を隠せないみんなの反応集【The amazing digital circus】,2025-06-21,110368,https://i.ytimg.com/vi/7XQzclgEJVo/hqdefault.jpg
アニメ・漫画解説,UCtu-8ottlpNi_2daB76lyUQ,Tootoo Comisc,2690,5万人未満,240926,2KzbkYJYMEE,[完結漫畫I反轉]小時候不小心玩了青梅的小鮑鮑，沒想到長大後她竟是我的聯姻對象，我知道后扛著飛機跑路，她卻拉住我，玩了老娘還想跑？#二次元 #一口氣看完 #漫画解说 #小說,2025-06-17,42838,https://i.ytimg.com/vi/2KzbkYJYMEE/hqdefault.jpg
アニメ・漫画解説,UCDmuW8ExfEncZpCI23cAnVQ,アニメ辛口批評ちゃんねる,11700,5万人未満,225923,eHRer_rHgD4,2025春アニメ・あなたが選ぶ覇権作！視聴者の皆さんの投票結果を発表！上位陣安定かと思いきや意外な番狂わせ！１位はどの作品？,2025-06-21,56949,https://i.ytimg.com/vi/eHRer_rHgD4/hqdefault.jpg
アニメ・漫画解説,UCs-xzguclESYS8kNGbn2L2w,アニメJAPAN【海外の反応ゆっくり解説】,24200,5万人未満,185768,WdvYp73Gdow,【海外の反応】葬送のフリーレンが敗北？Crunchyrollアニメアワード2025でアニメオブザイヤー賞を「俺だけレベルアップな件」に強奪されたと海外アニメファン大激怒！【VOICEBOX解説】,2025-06-01,75232,https://i.ytimg.com/vi/WdvYp73Gdow/hqdefault.jpg
アニメ・漫画解説,UCGHWQsjSorpqn7NZuMZrBrg,さけねこの映画チャンネル,38200,5万人未満,155400,G_slFG88IOc,映画『国宝』全演目を解説!! 予習復習動画!! 複雑な歌舞伎の演目を物語の時系列に沿って出来る限りネタバレなしで解説!!,2025-06-06,109488,https://i.ytimg.com/vi/G_slFG88IOc/hqdefault.jpg
アニメ・漫画解説,UC6lvfBkDsf-4CfkYmFFglPw,肉丸书屋,4430,5万人未満,132780,NCQq4AFuRrY,眞少爺自出生後就被丟在道觀無人問津，卻在22年後被告知親生父母找上門#小说改编 #玄幻 #魔幻 #修仙 #重生#漫画解说#有声漫画 #热血 #漫画でわかる書籍 #漫画動画,2025-06-05,17207,https://i.ytimg.com/vi/NCQq4AFuRrY/hqdefault.jpg
アニメ・漫画解説,UCNvnomD-34hZ-YnEoc3RQog,飞天御剑流,2040,5万人未満,130914,-QeZ4-qvWLU,向阳·花：We Girls—在囚火中绽放，浴光重生的她们,2025-06-23,74083,https://i.ytimg.com/vi/-QeZ4-qvWLU/hqdefault.jpg
